;text;label;category
0;Stop Islamization of America.	;Slogans;Call
1;We condemn all those whose behaviours and views run counter to our shared values;Black-and-White_Fallacy;
2;Defeat Jihad`;Slogans;Call
3;the nation that gave the world the Magna Carta is dead`.	;Loaded_Language;Manipulative_wording
4;The UK should never become a stage for inflammatory speakers who promote hate.`	;Flag-Waving;Justification
5;hate preachers;Name_Calling_Labeling;Attack_on_reputation
6;delighted` with the decision.	;Loaded_Language;Manipulative_wording
7;a striking blow against freedom;Loaded_Language;Manipulative_wording
8;so-called land of democracy and freedom of speech;Name_Calling_Labeling;Attack_on_reputation
9;hair trigger in single-action mode;Loaded_Language;Manipulative_wording
10;sanctuary` policy;Name_Calling_Labeling;Attack_on_reputation
11;politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.`;Whataboutism;Distraction
12;pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.	;Causal_Oversimplification;Simplification
13;This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,`;Causal_Oversimplification;Simplification
14;Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.;Causal_Oversimplification;Simplification
15;a complete travesty of justice.;Loaded_Language;Manipulative_wording
16;BUILD THE WALL!`;Slogans;Call
17;firestorm of outrage ;Loaded_Language;Manipulative_wording
18;alien ;Loaded_Language;Manipulative_wording
19;The Kate Steinle killer ;Name_Calling_Labeling;Attack_on_reputation
20;the biggest political gift possible ;Exaggeration_Minimisation;Manipulative_wording
21;extremely high-profile episode ;Exaggeration_Minimisation;Manipulative_wording
22;a gang that can’t shoot straight ;Name_Calling_Labeling;Attack_on_reputation
23;hazy old-time Hollywood casting;Loaded_Language;Manipulative_wording
24;ugly ways ;Loaded_Language;Manipulative_wording
25;reality-TV star’s ;Name_Calling_Labeling;Attack_on_reputation
26;Exploding in Trump’s Face;Loaded_Language;Manipulative_wording
27;how badly Trump does his job ;Doubt;Attack_on_reputation
28;reflected the reality-TV star’s weakness as a presidential candidate;Doubt;Attack_on_reputation
29;Trump hasn’t learned it yet;Doubt;Attack_on_reputation
30;Trump is easily manipulated by those around him;Doubt;Attack_on_reputation
31;Trump and his White House staff failed to do their jobs ;Doubt;Attack_on_reputation
32;As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president;Appeal_to_Authority;Justification
33;cut-of-his-jib test ;Loaded_Language;Manipulative_wording
34;cut-of-his-jib test ;Loaded_Language;Manipulative_wording
35;someone who hires based on what he thinks someone doing that job should look like;Causal_Oversimplification;Simplification
36;partisan, conservative judges;Name_Calling_Labeling;Attack_on_reputation
37;complete hash ;Loaded_Language;Manipulative_wording
38;severe trouble;Loaded_Language;Manipulative_wording
39;a slur on all women ;Loaded_Language;Manipulative_wording
40;bombshells ;Loaded_Language;Manipulative_wording
41;has blasted ;Loaded_Language;Manipulative_wording
42;are blasting ;Loaded_Language;Manipulative_wording
43;a President who cares about nothing about the country and everything about his narrow self-interest;Name_Calling_Labeling;Attack_on_reputation
44;sheer number ;Exaggeration_Minimisation;Manipulative_wording
45;This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest;Doubt,Flag-Waving;Attack_on_reputation_Justification
46;Agencies scramble ;Loaded_Language;Manipulative_wording
47;were scrambling ;Loaded_Language;Manipulative_wording
48;has hamstrung the administration for more than 18 months;Loaded_Language;Manipulative_wording
49;disgraced former FBI officials ;Name_Calling_Labeling;Attack_on_reputation
50;fired FBI Special Agent ;Name_Calling_Labeling;Attack_on_reputation
51;are touting the president’s order;Loaded_Language;Manipulative_wording
52;Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative;Causal_Oversimplification;Simplification
53;a red line that must not be crossed ;Loaded_Language;Manipulative_wording
54;a partisan memo ;Name_Calling_Labeling;Attack_on_reputation
55;clear abuse of power;Name_Calling_Labeling;Attack_on_reputation
56;despotic leader;Name_Calling_Labeling;Attack_on_reputation
57;brutal dictator;Name_Calling_Labeling;Attack_on_reputation
58;our soldiers;Flag-Waving;Justification
59;brutal;Loaded_Language;Manipulative_wording
60;our soldiers;Flag-Waving,Repetition;Justification_Manipulative_wording
61;People are going to be very impressed;Black-and-White_Fallacy;
