Id:Start:End,text,Appeal_to_Authority,Appeal_to_fear-prejudice,Bandwagon,Black-and-White_Fallacy,Causal_Oversimplification,Doubt,Exaggeration_Minimisation,Flag-Waving,Loaded_Language,Name_Calling_Labeling,Obfuscation_Intentional_Vagueness_Confusion,Red_Herring,Reductio_ad_hitlerum,Repetition,Slogans,Straw_Men,Thought-terminating_Cliches,Whataboutism
111111112:191:221,"Stop Islamization of America.	",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111111112:476:556,"We condemn all those whose behaviours and views run counter to our shared values",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111111112:785:798,"Defeat Jihad`",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111111112:958:1015,"the nation that gave the world the Magna Carta is dead`.	",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111112:1456:1536,"The UK should never become a stage for inflammatory speakers who promote hate.`	",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111111112:1810:1824,"hate preachers",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111112:2095:2125,"delighted` with the decision.	",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111112:911:942,"a striking blow against freedom",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111112:1738:1787,"so-called land of democracy and freedom of speech",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111113:1396:1430,"hair trigger in single-action mode",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111113:3082:3099,"sanctuary` policy",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111113:3828:3985,"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.`",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111111113:361:469,"pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.	",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111111113:3580:3741,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,`",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
